SN,Name,lon,lat
1,Adhikarigaun,#VALUE!,#VALUE!
2,Adhikarigaun,#VALUE!,#VALUE!
3,Akashi,#VALUE!,#VALUE!
4,Alapot,#VALUE!,#VALUE!
5,Amaldol,#VALUE!,#VALUE!
6,Arubari,#VALUE!,#VALUE!
7,Aryalgaun,#VALUE!,#VALUE!
8,Ataling,#VALUE!,#VALUE!
9,Atarkhel,#VALUE!,#VALUE!
10,Bageshwari,85.486537,27.696289
11,Baibu,#VALUE!,#VALUE!
12,Bairikhel,85.431754,27.639621
13,Banachaur,76.300042,31.057879
14,Bangaun,#VALUE!,#VALUE!
15,Banjhaban,#VALUE!,#VALUE!
16,Banpedheri,#VALUE!,#VALUE!
17,Bansbari,85.457475,27.688696
18,Basnetgaun,85.528393,27.639833
19,Basnetgaun,#VALUE!,#VALUE!
20,Basnyatgaun,#VALUE!,#VALUE!
21,Batatol,#VALUE!,#VALUE!
22,Besigaun,#VALUE!,#VALUE!
23,Besigaun,#VALUE!,#VALUE!
24,Bhadgaun,85.42982,27.671022
25,Bhadrabas,85.423371,27.73665
26,Bhaimal,#VALUE!,#VALUE!
27,Bhaingaun,#VALUE!,#VALUE!
28,Bhaisepati,#VALUE!,#VALUE!
29,Bhajubhairav,#VALUE!,#VALUE!
30,Bhalutar,#VALUE!,#VALUE!
31,Bhandarigaun,85.528028,27.575679
32,Bhangalo,#VALUE!,#VALUE!
33,Bhatedhikuro,#VALUE!,#VALUE!
34,Bhatgaun,85.42982,27.671022
35,Bhatmase,#VALUE!,#VALUE!
36,Bhetasi,#VALUE!,#VALUE!
37,Bhimsentar,85.436268,27.742926
39,Bhumitar,#VALUE!,#VALUE!
40,Bhusundol,#VALUE!,#VALUE!
41,Bibicha,#VALUE!,#VALUE!
42,Billigal,#VALUE!,#VALUE!
43,Bisambhar,#VALUE!,#VALUE!
44,Bodegaun,#VALUE!,#VALUE!
45,Bomthali,#VALUE!,#VALUE!
46,Bramhakhel,#VALUE!,#VALUE!
47,Budhathokigaun,85.489758,27.641513
48,Bungal,#VALUE!,#VALUE!
49,Chakamakal,#VALUE!,#VALUE!
50,Chakhu,85.910648,27.882787
51,Chalantar,#VALUE!,#VALUE!
52,Chamelidanda,#VALUE!,#VALUE!
53,Chamthali,#VALUE!,#VALUE!
54,Changunarayan,85.438409,27.68904
55,Chasidol,#VALUE!,#VALUE!
56,Chhakapakha,#VALUE!,#VALUE!
57,Chhap,85.411761,27.831326
58,Chhapdanda,#VALUE!,#VALUE!
59,Chitrapur,#VALUE!,#VALUE!
60,Chundevi,85.131004,27.651532
61,Chundevi,85.131004,27.651532
62,Dadhikot,85.398858,27.640732
63,Dadukhel,#VALUE!,#VALUE!
64,Dagaun,#VALUE!,#VALUE!
65,Dahalgaun,#VALUE!,#VALUE!
66,Dakshindhoka,#VALUE!,#VALUE!
67,Damaigaun,#VALUE!,#VALUE!
68,Danadathok,#VALUE!,#VALUE!
69,Danchhi,85.414341,27.729037
70,Dandagaun,#VALUE!,#VALUE!
71,Dandagaun,#VALUE!,#VALUE!
72,Dandagaun,#VALUE!,#VALUE!
73,Dandagaun,#VALUE!,#VALUE!
74,Dandagaun,#VALUE!,#VALUE!
75,Deujagaun,#VALUE!,#VALUE!
76,Deuralibhanjyang,#VALUE!,#VALUE!
77,Devdol,85.38337,27.663634
78,Dhansar,#VALUE!,#VALUE!
79,Dharachaur,#VALUE!,#VALUE!
80,Dhunchopakha,#VALUE!,#VALUE!
81,Dhyavaskagaun,#VALUE!,#VALUE!
82,Dihigaun,#VALUE!,#VALUE!
83,Dipdol,#VALUE!,#VALUE!
84,Dithadanda,#VALUE!,#VALUE!
85,Dobhane,#VALUE!,#VALUE!
86,Doreshwar,#VALUE!,#VALUE!
87,Dumakhal,#VALUE!,#VALUE!
88,Duwakot,85.411761,27.690913
89,Gaindagaun,#VALUE!,#VALUE!
90,Gairigaun,#VALUE!,#VALUE!
91,Gajarkot,#VALUE!,#VALUE!
92,Galmati,#VALUE!,#VALUE!
93,Gamcha,#VALUE!,#VALUE!
94,Gamcha,#VALUE!,#VALUE!
95,Gamphedi,#VALUE!,#VALUE!
96,Gankhu,#VALUE!,#VALUE!
97,Gaunsuli,#VALUE!,#VALUE!
98,Ghorsahi,82.486105,28.058763
99,Ghumarichok,#VALUE!,#VALUE!
100,Ghumaune,85.460749,27.694904
101,Godar,#VALUE!,#VALUE!
102,Gokarna,85.4066,27.766812
103,Gokulgaun,#VALUE!,#VALUE!
104,Gothatar,85.380789,27.701592
105,Gunchadol,#VALUE!,#VALUE!
106,Gundigaun,#VALUE!,#VALUE!
107,Gundugaun,#VALUE!,#VALUE!
108,Halalgaun,#VALUE!,#VALUE!
109,Halchap,#VALUE!,#VALUE!
110,Hanumantar,#VALUE!,#VALUE!
111,Hinchok,#VALUE!,#VALUE!
112,Ikudol,85.329129,27.489075
113,Itagaun,#VALUE!,#VALUE!
114,Jagadol,#VALUE!,#VALUE!
115,Jagati,85.438122,27.671743
116,Jhaukhel,85.42982,27.694435
117,Jitpur,#VALUE!,#VALUE!
118,Jorpati,85.378207,27.727839
119,Joshigaun,#VALUE!,#VALUE!
120,Jyathapakha,#VALUE!,#VALUE!
121,Kalighat,#VALUE!,#VALUE!
122,Kalitar,85.394664,27.642423
123,Kalitar,85.394665,27.642423
124,Kamalbinayak,85.437211,27.676369
125,Kamerotar,85.392695,27.679861
126,Kamitar,#VALUE!,#VALUE!
127,Kankrabari,85.459443,27.628827
128,Kapahiti,#VALUE!,#VALUE!
129,Kaphlegaun,#VALUE!,#VALUE!
130,Karkigaun,#VALUE!,#VALUE!
131,Karkigaun,#VALUE!,#VALUE!
132,Karkigaun,#VALUE!,#VALUE!
133,Karkigaun,#VALUE!,#VALUE!
134,Karkigaun,#VALUE!,#VALUE!
135,Karkigaun,#VALUE!,#VALUE!
136,Katunje,85.40918,27.664489
137,Khadkagaun,85.455285,27.649539
138,Khadkatol,#VALUE!,#VALUE!
139,Khalphitar,#VALUE!,#VALUE!
140,Kharipati,85.460764,27.689596
141,Khatrigaun,85.338349,27.755656
142,Khatritol,#VALUE!,#VALUE!
143,Khorsanibari,#VALUE!,#VALUE!
144,Khulaltar,85.325253,27.648522
145,Kishigal,#VALUE!,#VALUE!
146,Kotali,#VALUE!,#VALUE!
147,Kotthumka,#VALUE!,#VALUE!
148,Kulpakot,#VALUE!,#VALUE!
149,Kurthali,#VALUE!,#VALUE!
150,Kuslamtar,#VALUE!,#VALUE!
151,Lakila,85.437754,27.695856
152,Lamagaun,#VALUE!,#VALUE!
153,Lamatar,85.398858,27.629023
154,Lapsephedi,85.494267,27.763837
155,Lapuli,#VALUE!,#VALUE!
156,Lohokil,#VALUE!,#VALUE!
157,Lubhu,85.367878,27.639704
158,Lukundol,#VALUE!,#VALUE!
159,Magargaun,85.395261,27.68069
160,Magargaun,85.395261,27.68069
161,Magargaun,85.395261,27.68069
162,Mahantar,82.712028,27.816295
163,Mahatgaun,#VALUE!,#VALUE!
164,Majuwa,85.945784,27.332427
165,Makaltol,#VALUE!,#VALUE!
166,Maligaun,85.33334,27.713869
167,Mannatar,#VALUE!,#VALUE!
168,Manohara,85.356902,27.67519
169,Masandol,#VALUE!,#VALUE!
170,Mathillo Kankrabari,#VALUE!,#VALUE!
171,Milli,#VALUE!,#VALUE!
172,Mulakot,#VALUE!,#VALUE!
173,Mulpani,85.398858,27.71097
174,Nagadesh,85.381313,27.685469
175,Nagarkot,85.504571,27.717358
176,Naichalu,#VALUE!,#VALUE!
177,Nalinchok,85.462053,27.650126
178,Nangkhel,85.453029,27.64544
179,Nayangaun,82.783249,28.068888
180,Nayanpati,#VALUE!,#VALUE!
181,Nekosera,#VALUE!,#VALUE!
182,Nepalgaun,85.282715,27.68106
183,Ngyabu,#VALUE!,#VALUE!
184,Nyoupanegaun,#VALUE!,#VALUE!
185,Padali,#VALUE!,#VALUE!
186,Pagaritol,#VALUE!,#VALUE!
187,Paitar,#VALUE!,#VALUE!
188,Pakaunepati,#VALUE!,#VALUE!
189,Palase,85.434998,27.67684
