SN,Name,LON (degree),LAT (degree)
1,Adhikarigaun,85.387193,27.711843
2,Adhikarigaun,85.49699,27.686304
3,Akashi,85.431972,27.745745
4,Alapot,85.42745,27.746523
5,Amaldol,85.497474,27.660576
6,Arubari,85.375139,27.731855
7,Aryalgaun,85.387272,27.716699
8,Ataling,85.406928,27.640545
9,Atarkhel,85.383225,27.734385
10,Bageshwari,85.480001,27.691928
11,Baibu,85.400655,27.741823
12,Bairikhel,85.435401,27.638218
13,Banachaur,85.413494,27.665061
14,Bangaun,85.449098,27.706925
15,Banjhaban,85.49033,27.651034
16,Banpedheri,85.480956,27.702601
17,Bansbari,85.459249,27.688442
18,Basnetgaun,85.414782,27.645947
19,Basnetgaun,85.469236,27.641546
20,Basnyatgaun,85.387345,27.743071
21,Batatol,85.451138,27.701343
22,Besigaun,85.379814,27.727245
23,Besigaun,85.418893,27.705514
24,Bhadgaun,85.425524,27.670015
25,Bhadrabas,85.421913,27.740665
26,Bhaimal,85.379846,27.710285
27,Bhaingaun,85.4088,27.747632
28,Bhaisepati,85.492932,27.636158
29,Bhajubhairav,85.459632,27.699638
30,Bhalutar,85.383013,27.631166
31,Bhandarigaun,85.455015,27.73483
32,Bhangalo,85.484239,27.649827
33,Bhatedhikuro,85.446637,27.66161
34,Bhatgaun,85.409629,27.749684
35,Bhatmase,85.420709,27.742349
36,Bhetasi,85.487201,27.662065
37,Bhimsentar,85.438681,27.743905
39,Bhumitar,85.447327,27.746483
40,Bhusundol,85.460919,27.698242
41,Bibicha,85.442747,27.656746
42,Billigal,85.375178,27.711886
43,Bisambhar,85.494786,27.723619
44,Bodegaun,85.392515,27.692195
45,Bomthali,85.403807,27.746282
46,Bramhakhel,85.425393,27.730573
47,Budhathokigaun,85.491213,27.641661
48,Bungal,85.411023,27.669683
49,Chakamakal,85.377575,27.648266
50,Chakhu,85.432739,27.65272
51,Chalantar,85.419275,27.726589
52,Chamelidanda,85.396833,27.636916
53,Chamthali,85.450886,27.656966
54,Changunarayan,85.42095,27.716211
55,Chasidol,85.380519,27.647531
56,Chhakapakha,85.447672,27.734713
57,Chhap,85.440145,27.717616
58,Chhapdanda,85.446007,27.713975
59,Chitrapur,85.386955,27.656019
60,Chundevi,85.447195,27.666378
61,Chundevi,85.416729,27.665264
62,Dadhikot,85.395276,27.649294
63,Dadukhel,85.444412,27.732106
64,Dagaun,85.475316,27.650432
65,Dahalgaun,85.474138,27.700163
66,Dakshindhoka,85.388782,27.722675
67,Damaigaun,85.493253,27.691344
68,Danadathok,85.383614,27.633816
69,Danchhi,85.415516,27.728784
70,Dandagaun,85.412451,27.74787
71,Dandagaun,85.373578,27.727623
72,Dandagaun,85.473309,27.688354
73,Dandagaun,85.459497,27.659028
74,Dandagaun,85.437228,27.649125
75,Deujagaun,85.463318,27.657801
76,Deuralibhanjyang,85.478147,27.712264
77,Devdol,85.384072,27.66718
78,Dhansar,85.378881,27.651921
79,Dharachaur,85.380469,27.633793
80,Dhunchopakha,85.38421,27.691405
81,Dhyavaskagaun,85.399154,27.63292
82,Dihigaun,85.459302,27.704266
83,Dipdol,85.48457,27.637132
84,Dithadanda,85.42384,27.739416
85,Dobhane,85.463547,27.700574
86,Doreshwar,85.436512,27.642161
87,Dumakhal,85.404451,27.720918
88,Duwakot,85.421236,27.697333
89,Gaindagaun,85.445925,27.700028
90,Gairigaun,85.496565,27.716314
91,Gajarkot,85.411049,27.726188
92,Galmati,85.402572,27.750069
93,Gamcha,85.3956,27.74852
94,Gamcha,85.383225,27.655618
95,Gamphedi,85.416868,27.713791
96,Gankhu,85.400315,27.689373
97,Gaunsuli,85.475153,27.719244
98,Ghorsahi,85.484651,27.685397
99,Ghumarichok,85.464873,27.749179
100,Ghumaune,85.460381,27.694318
101,Godar,85.395596,27.707858
102,Gokarna,85.391533,27.737581
103,Gokulgaun,85.453961,27.705078
104,Gothatar,85.381697,27.698717
105,Gunchadol,85.426746,27.653018
106,Gundigaun,85.447845,27.696577
107,Gundugaun,85.411153,27.650317
108,Halalgaun,85.492145,27.67371
109,Halchap,85.434392,27.721502
110,Hanumantar,85.42998,27.697216
111,Hinchok,85.390737,27.662868
112,Ikudol,85.373121,27.659874
113,Itagaun,85.473887,27.641469
114,Jagadol,85.378812,27.745821
115,Jagati,85.438251,27.667515
116,Jhaukhel,85.433197,27.695933
117,Jitpur,85.481228,27.686643
118,Jorpati,85.376903,27.722293
119,Joshigaun,85.399525,27.669516
120,Jyathapakha,85.377102,27.635148
121,Kalighat,85.429746,27.679201
