SN,Name,
1,Adhikarigaun,#VALUE!
2,Adhikarigaun,#VALUE!
3,Akashi,#VALUE!
4,Alapot,#VALUE!
5,Amaldol,#VALUE!
6,Arubari,#VALUE!
7,Aryalgaun,#VALUE!
8,Ataling,#VALUE!
9,Atarkhel,#VALUE!
10,Bageshwari,"POLYGON((85.480001 27.691928,85.4775729 27.6914888,85.486537 27.696289))"
11,Baibu,#VALUE!
12,Bairikhel,"POLYGON((85.435401 27.638218,85.4287984 27.6388355,85.431754 27.639621))"
13,Banachaur,"POLYGON((85.413494 27.665061,85.4060702 27.6640993,76.300042 31.057879))"
14,Bangaun,#VALUE!
15,Banjhaban,#VALUE!
16,Banpedheri,#VALUE!
17,Bansbari,#VALUE!
18,Basnetgaun,#VALUE!
19,Basnetgaun,#VALUE!
20,Basnyatgaun,#VALUE!
21,Batatol,#VALUE!
22,Besigaun,#VALUE!
23,Besigaun,#VALUE!
24,Bhadgaun,#VALUE!
25,Bhadrabas,#VALUE!
26,Bhaimal,#VALUE!
27,Bhaingaun,#VALUE!
28,Bhaisepati,#VALUE!
29,Bhajubhairav,#VALUE!
30,Bhalutar,#VALUE!
31,Bhandarigaun,#VALUE!
32,Bhangalo,#VALUE!
33,Bhatedhikuro,#VALUE!
34,Bhatgaun,#VALUE!
35,Bhatmase,#VALUE!
36,Bhetasi,#VALUE!
37,Bhimsentar,#VALUE!
39,Bhumitar,#VALUE!
40,Bhusundol,#VALUE!
41,Bibicha,#VALUE!
42,Billigal,#VALUE!
43,Bisambhar,#VALUE!
44,Bodegaun,#VALUE!
45,Bomthali,#VALUE!
46,Bramhakhel,#VALUE!
47,Budhathokigaun,#VALUE!
48,Bungal,#VALUE!
49,Chakamakal,#VALUE!
50,Chakhu,"POLYGON((85.432739 27.65272,85.4297235 27.653968,85.910648 27.882787))"
51,Chalantar,#VALUE!
52,Chamelidanda,#VALUE!
53,Chamthali,#VALUE!
54,Changunarayan,#VALUE!
55,Chasidol,#VALUE!
56,Chhakapakha,#VALUE!
57,Chhap,#VALUE!
58,Chhapdanda,#VALUE!
59,Chitrapur,#VALUE!
60,Chundevi,"POLYGON((85.447195 27.666378,85.4137044 27.6650737,85.131004 27.651532))"
61,Chundevi,"POLYGON((85.416729 27.665264,85.4137044 27.6650737,85.131004 27.651532))"
62,Dadhikot,"POLYGON((85.395276 27.649294,85.3935942 27.6492263,85.398858 27.640732))"
63,Dadukhel,#VALUE!
64,Dagaun,#VALUE!
65,Dahalgaun,#VALUE!
66,Dakshindhoka,#VALUE!
67,Damaigaun,#VALUE!
68,Danadathok,#VALUE!
69,Danchhi,"POLYGON((85.415516 27.728784,85.4190037 27.7413448,85.414341 27.729037))"
70,Dandagaun,#VALUE!
71,Dandagaun,#VALUE!
72,Dandagaun,#VALUE!
73,Dandagaun,#VALUE!
74,Dandagaun,#VALUE!
75,Deujagaun,#VALUE!
76,Deuralibhanjyang,#VALUE!
77,Devdol,"POLYGON((85.384072 27.66718,85.381844 27.6654873,85.38337 27.663634))"
78,Dhansar,#VALUE!
79,Dharachaur,#VALUE!
80,Dhunchopakha,#VALUE!
81,Dhyavaskagaun,#VALUE!
82,Dihigaun,#VALUE!
83,Dipdol,#VALUE!
84,Dithadanda,#VALUE!
85,Dobhane,#VALUE!
86,Doreshwar,#VALUE!
87,Dumakhal,#VALUE!
88,Duwakot,"POLYGON((85.421236 27.697333,85.4126782 27.6940986,85.411761 27.690913))"
89,Gaindagaun,#VALUE!
90,Gairigaun,#VALUE!
91,Gajarkot,#VALUE!
92,Galmati,#VALUE!
93,Gamcha,#VALUE!
94,Gamcha,#VALUE!
95,Gamphedi,#VALUE!
96,Gankhu,#VALUE!
97,Gaunsuli,#VALUE!
98,Ghorsahi,#VALUE!
99,Ghumarichok,#VALUE!
100,Ghumaune,"POLYGON((85.460381 27.694318,85.4547431 27.6940178,85.460749 27.694904))"
101,Godar,#VALUE!
102,Gokarna,"POLYGON((85.391533 27.737581,85.3923403365187 27.73602695,85.4066 27.766812))"
103,Gokulgaun,#VALUE!
104,Gothatar,"POLYGON((85.381697 27.698717,85.3728572002326 27.692645,85.380789 27.701592))"
105,Gunchadol,#VALUE!
106,Gundigaun,#VALUE!
107,Gundugaun,#VALUE!
108,Halalgaun,#VALUE!
109,Halchap,#VALUE!
110,Hanumantar,#VALUE!
111,Hinchok,#VALUE!
112,Ikudol,"POLYGON((85.373121 27.659874,85.3701212 27.6599661,85.329129 27.489075))"
113,Itagaun,#VALUE!
114,Jagadol,#VALUE!
115,Jagati,"POLYGON((85.438251 27.667515,85.4365207 27.6665372,85.438122 27.671743))"
116,Jhaukhel,"POLYGON((85.433197 27.695933,85.4304905 27.6909215,85.42982 27.694435))"
117,Jitpur,#VALUE!
118,Jorpati,"POLYGON((85.376903 27.722293,85.3932598 27.697186,85.378207 27.727839))"
119,Joshigaun,#VALUE!
120,Jyathapakha,#VALUE!
121,Kalighat,#VALUE!
122,Kalitar,"POLYGON((85.445254 27.701598,85.3934053 27.6431364,85.394664 27.642423))"
123,Kalitar,"POLYGON((85.394575 27.643819,85.3934054 27.6431364,85.394665 27.642423))"
124,Kamalbinayak,"POLYGON((85.439177 27.677233,85.4372257 27.6775627,85.437211 27.676369))"
125,Kamerotar,"POLYGON((85.395342 27.679069,85.3922497 27.6785876,85.392695 27.679861))"
126,Kamitar,#VALUE!
127,Kankrabari,#VALUE!
128,Kapahiti,#VALUE!
129,Kaphlegaun,#VALUE!
130,Karkigaun,#VALUE!
131,Karkigaun,#VALUE!
132,Karkigaun,#VALUE!
133,Karkigaun,#VALUE!
134,Karkigaun,#VALUE!
135,Karkigaun,#VALUE!
136,Katunje,"POLYGON((85.405182 27.665411,85.4025999 27.665277,85.40918 27.664489))"
137,Khadkagaun,#VALUE!
138,Khadkatol,#VALUE!
139,Khalphitar,#VALUE!
140,Kharipati,"POLYGON((85.47246 27.702735,85.4706888 27.7027371,85.460764 27.689596))"
141,Khatrigaun,#VALUE!
142,Khatritol,#VALUE!
143,Khorsanibari,#VALUE!
144,Khulaltar,#VALUE!
145,Kishigal,#VALUE!
146,Kotali,#VALUE!
147,Kotthumka,#VALUE!
148,Kulpakot,#VALUE!
149,Kurthali,#VALUE!
150,Kuslamtar,#VALUE!
151,Lakila,"POLYGON((85.432896 27.704305,85.4350052 27.6964106,85.437754 27.695856))"
152,Lamagaun,#VALUE!
153,Lamatar,"POLYGON((85.393301 27.63366,85.3900179 27.6329653,85.398858 27.629023))"
154,Lapsephedi,#VALUE!
155,Lapuli,#VALUE!
156,Lohokil,#VALUE!
157,Lubhu,"POLYGON((85.375541 27.643427,85.3742115 27.6417221,85.367878 27.639704))"
158,Lukundol,#VALUE!
159,Magargaun,#VALUE!
160,Magargaun,#VALUE!
161,Magargaun,#VALUE!
162,Mahantar,#VALUE!
163,Mahatgaun,#VALUE!
164,Majuwa,"POLYGON((85.496312 27.693966,85.4910596 27.6962178,85.945784 27.332427))"
165,Makaltol,#VALUE!
166,Maligaun,"POLYGON((85.44479 27.641281,85.3345819 27.7137649,85.33334 27.713869))"
167,Mannatar,#VALUE!
168,Manohara,"POLYGON((85.44915 27.732823,85.3427203 27.6725565,85.356902 27.67519))"
169,Masandol,#VALUE!
170,Mathillo Kankrabari,#VALUE!
171,Milli,#VALUE!
172,Mulakot,#VALUE!
173,Mulpani,"POLYGON((85.399257 27.716824,85.3734042 27.6173061,85.398858 27.71097))"
174,Nagadesh,"POLYGON((85.3831 27.686949,85.3857203299605 27.6851421,85.381313 27.685469))"
175,Nagarkot,"POLYGON((85.485997 27.712482,85.4805392 27.7126129,85.504571 27.717358))"
176,Naichalu,#VALUE!
177,Nalinchok,"POLYGON((85.460504 27.6537,85.4613366 27.6530724,85.462053 27.650126))"
178,Nangkhel,#VALUE!
179,Nayangaun,#VALUE!
180,Nayanpati,#VALUE!
181,Nekosera,#VALUE!
182,Nepalgaun,#VALUE!
183,Ngyabu,#VALUE!
184,Nyoupanegaun,#VALUE!
185,Padali,#VALUE!
186,Pagaritol,#VALUE!
187,Paitar,#VALUE!
188,Pakaunepati,#VALUE!
189,Palase,"POLYGON((85.466468 27.64492,85.4638258 27.645751,85.434998 27.67684))"
190,Palubari,#VALUE!
191,Pasikhel,#VALUE!
192,Pataletar,#VALUE!
193,Paudeldanda,#VALUE!
194,Paudeldanda,#VALUE!
195,Phaidhoka,#VALUE!
196,Phaidhoka,#VALUE!
197,Phedigaun,#VALUE!
198,Phuyalgaun,#VALUE!
199,Phuyalgaun,#VALUE!
200,Pikhel,"POLYGON((85.439366 27.704725,85.4400204 27.7009713,85.439934 27.702271))"
201,Pikhel,"POLYGON((85.432893 27.645677,85.4400204 27.7009713,85.439934 27.702271))"
202,Piple,"POLYGON((85.485897 27.656906,85.4807909 27.6563679,85.495072 27.631256))"
203,Pularagaun,#VALUE!
204,Pwargaun,#VALUE!
205,Pyakadol,#VALUE!
206,Raitar,#VALUE!
207,Ratopati,#VALUE!
208,Rautetol,#VALUE!
209,Rautgaun,#VALUE!
210,Rautgaun,#VALUE!
211,Raygaun,#VALUE!
212,Rokagaun,#VALUE!
213,Ruksetar,#VALUE!
214,Sakharkhande,#VALUE!
215,Sakhintar,#VALUE!
216,Salakhitar,#VALUE!
217,Salambutar,#VALUE!
218,Salampakha,"POLYGON((85.383803 27.660447,85.3826044 27.660339,85.456897 27.723122))"
219,Sallaghari,"POLYGON((85.409174 27.672632,85.4073497 27.673265,85.40789 27.671763))"
220,Sanchukcha,#VALUE!
221,Sandol,#VALUE!
222,Sanga,"POLYGON((85.47842 27.643902,85.47774 27.64216,85.477622 27.641838))"
223,Sangdaha,#VALUE!
224,Sankhu,"POLYGON((85.468681 27.731681,85.4636604 27.7298788,85.329129 27.512508))"
225,Sano Thimi,"POLYGON((85.376444 27.678985,85.3710249 27.6828107,85.374334 27.685283))"
226,Sanogaun,#VALUE!
227,Saraswatikhel,"POLYGON((85.406006 27.696672,85.4031339 27.6963359,75.556727 31.33796))"
228,Sarswatitar,#VALUE!
229,Sashambhu,#VALUE!
230,Saudol,#VALUE!
231,Saudol,#VALUE!
232,Shankhedol,#VALUE!
233,Shantigaun,#VALUE!
234,Shikaritar,#VALUE!
235,Silamgal,#VALUE!
236,Singkhadagaun,#VALUE!
237,Sirutar,"POLYGON((85.377142 27.655751,85.3749294 27.6557568,85.374334 27.656017))"
238,Soche,"POLYGON((85.439252 27.635422,85.4371644 27.6370873,85.438202 27.635441))"
239,Somathali,#VALUE!
240,Sudal,"POLYGON((85.485243 27.679192,85.4794072 27.6768296,85.481384 27.678561))"
241,Sumelgaun,#VALUE!
242,Sumlingtar,#VALUE!
243,Suryabinayak,"POLYGON((85.424766 27.657469,85.4255764 27.6644387,85.442715 27.645103))"
244,Suryamandali,#VALUE!
245,Taikapu,#VALUE!
246,Talinchok,#VALUE!
247,Tamanggaun,#VALUE!
248,Tamanggaun,#VALUE!
249,Tamanggaun,#VALUE!
250,Tarkhakal,#VALUE!
251,Tarkhakal,#VALUE!
252,Tatgal,#VALUE!
253,Taudol,"POLYGON((85.444604 27.64847,85.4389966 27.6477516,85.44336 27.648783))"
254,Thakalmath,#VALUE!
255,Thali,"POLYGON((85.40682 27.726973,85.4044485 27.7271011,75.876819 28.151756))"
256,Thapadanda,#VALUE!
257,Thapagaun,"POLYGON((85.387256 27.702144,85.2775141 27.692798,82.165244 28.09825))"
258,Thapagaun,"POLYGON((85.45437 27.700666,85.2775141 27.692798,82.165244 28.09825))"
259,Thapatol,"POLYGON((85.393775 27.66693,85.3913167 27.6662873,85.322668 27.689406))"
260,Thasetar,#VALUE!
261,Thimi,"POLYGON((85.385253 27.680354,85.3854014 27.6732392,85.380789 
27.678181))"
262,Thimitar,#VALUE!
263,Thuladhik,#VALUE!
264,Thulaghar,#VALUE!
265,Tigani,#VALUE!
266,Totha,#VALUE!
267,Yangdol,#VALUE!
,Bhulbu,#VALUE!
